month,birth
2010M01,5007
2010M02,4733
2010M03,5297
2010M04,4956
2010M05,5095
2010M06,5111
2010M07,5441
2010M08,5272
2010M09,5280
2010M10,5251
2010M11,4716
2010M12,4821
2011M01,5070
2011M02,4592
2011M03,5072
2011M04,4790
2011M05,5091
2011M06,5057
2011M07,5309
2011M08,5434
2011M09,5274
2011M10,4888
2011M11,4803
2011M12,4581
2012M01,4991
2012M02,4722
2012M03,5061
2012M04,4822
2012M05,5003
2012M06,5047
2012M07,5384
2012M08,5388
2012M09,4990
2012M10,4832
2012M11,4769
2012M12,4484
2013M01,4837
2013M02,4463
2013M03,4970
2013M04,4840
2013M05,5014
2013M06,4866
2013M07,5247
2013M08,5134
2013M09,5025
2013M10,4987
2013M11,4400
2013M12,4351
2014M01,4800
2014M02,4333
2014M03,4806
2014M04,4683
2014M05,4997
2014M06,4880
2014M07,5227
2014M08,5052
2014M09,5065
2014M10,4781
2014M11,4232
2014M12,4376
2015M01,4659
2015M02,4209
2015M03,4603
2015M04,4629
2015M05,4633
2015M06,4696
2015M07,5010
2015M08,4882
2015M09,4756
2015M10,4615
2015M11,4500
2015M12,4280
2016M01,4416
2016M02,4094
2016M03,4533
2016M04,4458
2016M05,4622
2016M06,4507
2016M07,4619
2016M08,4727
2016M09,4604
2016M10,4411
2016M11,3984
2016M12,3839
2017M01,4152
2017M02,3814
2017M03,4180
2017M04,4062
2017M05,4338
2017M06,4421
2017M07,4615
2017M08,4559
2017M09,4204
2017M10,4275
2017M11,3878
2017M12,3823
2018M01,4088
2018M02,3657
2018M03,3974
2018M04,3989
2018M05,4113
2018M06,4051
2018M07,4222
2018M08,4351
2018M09,3944
2018M10,3915
2018M11,3719
2018M12,3554
2019M01,3867
2019M02,3288
2019M03,3778
2019M04,3750
2019M05,3735
2019M06,3817
2019M07,4128
2019M08,4122
2019M09,4052
2019M10,3848
2019M11,3649
2019M12,3579
